,macro_f1,accuracy,false_alarm_rate,detection_rate
ensemble_basefeatures_w100_fulldata_0.001lr,0.8649779761856566,0.9966052787698988,0.00287106974835134,0.9874455566150413
multiclass_basefeatures_w100_fulldata_0.001lr,0.8213378365469944,0.9951914940057325,0.00430874837416339,0.9864564716344392
ensemble_basefeatures_w100_fulldata_0.0001lr,0.7498132543157797,0.990731370172931,0.009032543139376738,0.9866846663459261
multiclass_basefeatures_w100_fulldata_0.0001lr,0.6919315998496589,0.9873893171807231,0.01244699035372088,0.984554492017093
multiclass_basefeatures_w10_fulldata_0.001lr,0.6749246530158507,0.992333455672416,0.006694671275010071,0.9755875023682906
ensemble_basefeatures_w10_fulldata_0.001lr,0.6740726190815017,0.9924063477903429,0.006647621509835317,0.975967643728116
multiclass_flowonlyfeatures_w100_fulldata_0.001lr,0.6367345875312616,0.9307039252192417,0.07152848163443103,0.9705556742411214
ensemble_basefeatures_w10_fulldata_0.0001lr,0.6364772835579786,0.9880121682445878,0.011190566068445679,0.974218738926886
multiclass_basefeatures_w10_fulldata_0.0001lr,0.6227390755570136,0.985853564690861,0.0136417171251658,0.9777926230824079
ensemble_flowonlyfeatures_w100_fulldata_0.001lr,0.5972652994438711,0.9208722661197368,0.08218267544347276,0.9755761315800292
ensemble_flowonlyfeatures_w100_fulldata_0.0001lr,0.5190667928009599,0.9082739093157528,0.09521143251918618,0.9703242084396437
multiclass_flowonlyfeatures_w100_fulldata_0.0001lr,0.48307857349210864,0.8889343022113056,0.11621620022410703,0.9806744582293387
ensemble_flowonlyfeatures_w10_fulldata_0.001lr,0.4300279586792716,0.8779630346888181,0.12634750937636716,0.9578673670539335
multiclass_flowonlyfeatures_w10_fulldata_0.001lr,0.4208039807183369,0.8658618053076601,0.13956992731456877,0.9660820303517219
ensemble_flowonlyfeatures_w10_fulldata_0.0001lr,0.4203615145858877,0.8684698896844537,0.13681091196766398,0.965320793084447
multiclass_flowonlyfeatures_w10_fulldata_0.0001lr,0.4152732911408658,0.8622775270390811,0.14335584019264005,0.9660812493582114
