Model,Phase,runs,peak_mb_mean,peak_mb_std,time_to_peak_s_mean,time_to_peak_s_std,auc_mb_s_mean,auc_mb_s_std,median_mb_mean,median_mb_std,p90_mb_mean,p90_mb_std,p99_mb_mean,p99_mb_std,slope_mb_per_s_mean,slope_mb_per_s_std,time_to_peak,peak_gb,peak_gb_std,median_gb
temp_context_endtoend,train,4,30027.1474609375,1.4744460665986077,4112.2922955,1549.0954772822922,207123690.16886812,23866630.16221089,30026.5556640625,1.6354722258571965,30026.953125,1.40179959846542,30026.9970703125,1.4115470304690787,0.003164123732230478,0.0005647822228144456,1.1h,29.32,0.0,29.32
temp_context_baseline_endtoend,train,5,29965.8046875,4.289853638328615,1485.6395164,752.6569117354163,52165919.7357825,24700276.110779557,29962.2453125,6.553599526065571,29965.7921875,4.303367538099523,29965.803125,4.2917210567447475,0.5956933545365185,1.1739773898961394,24.8m,29.26,0.0,29.26
temp_baseline_endtoend,test,4,30672.12890625,34.868826152187076,25.1163345,0.42311691776062366,761740.8707750099,12606.66945120254,30376.498046875,36.279803290753875,30610.135449218753,34.03688598188247,30669.040361328123,34.444233158951874,25.155656393709645,0.18672746002607657,25s,29.95,0.03,29.66
temp_endtoend,test,4,30543.154296875,573.8017219085492,221.7471715,40.248912980794046,6686158.133809758,1089060.538767686,30214.62890625,573.6696843864573,30464.4580078125,658.1510928984989,30540.88357421875,574.353806578538,1.6239849460729632,0.45549524380948203,3.7m,29.83,0.56,29.51
temp_baseline_endtoend,train,4,29801.5830078125,37.24113844107602,12.9718815,0.4885846190955564,385534.73938194185,14718.375649281352,29718.4248046875,33.170219606483926,29787.183984375002,36.918040532595924,29800.154267578124,37.21639343532685,12.651242207353091,3.0604521581557744,13s,29.1,0.04,29.02
temp_endtoend,train,4,29975.9912109375,0.4165185029131875,44419.52378925,6614.633123885003,1546774259.0901647,86439824.450059,29975.7626953125,0.36942857279581015,29975.9833984375,0.4126447481446804,29975.990234375,0.4157954963385133,-0.0030929404664614994,0.005807442020631048,12.3h,29.27,0.0,29.27
temp_context_baseline_endtoend,test,4,30855.9609375,5.667877217558644,35.9774075,0.49944637595266533,1099281.9392687925,15277.745687026965,30553.9287109375,3.269350545941584,30806.009375,12.395628829338257,30853.270556640626,5.599070963523757,18.34666228844472,0.4665769189410726,36s,30.13,0.01,29.84
temp_context_pretrained,test,4,30918.6875,5.658096265063591,55.463659500000006,2.3622921100016945,1698228.85226246,72488.95551016851,30591.66357421875,5.844572835508372,30867.62900390625,21.05052800252496,30916.781816406252,5.800600340290072,8.182023136451079,0.31742192593706514,55s,30.19,0.01,29.87
temp_pretrained,test,2,26520.291015625,583.126953125,224.2940175,27.6115755,5903050.721879311,860107.6147724004,26216.7080078125,606.1982421875,26499.927734375,586.181640625,26518.0810546875,583.1279296875,1.3555031489505711,0.47361261679556516,3.7m,25.9,0.57,25.6
temp_context_endtoend,test,4,30918.51953125,2.8009215337078404,58.6287195,1.093573617917079,1795354.864884506,33765.53142844272,30593.23974609375,3.445779539531736,30879.67001953125,15.418562963037234,30916.433134765626,2.760146421940795,8.087943651354173,0.3058969439982109,59s,30.19,0.0,29.88
temp_pretrained,train,3,29970.984375,2.356689541645892,6785.563566333334,7250.270086038911,1160119298.7355955,767484856.1345392,28338.2421875,1660.9974331775654,29970.890625,2.4269289505173766,29970.977864583332,2.361483117012646,-0.02744431035390565,0.0871213710124665,1.9h,29.27,0.0,27.67
temp_context_pretrained,train,4,30023.052734375,4.733260121025572,1732.49961125,1664.865322791924,143704225.23333615,1294482.494498785,30022.19384765625,5.318375401467486,30022.4755859375,5.102843516634743,30022.7470703125,4.791146103598068,0.0035812833881927516,0.0003204852718105293,28.9m,29.32,0.0,29.32
