model,accuracy,precision,recall,f1,total_wrong,hard_violations,soft_violations,hard_rate,soft_rate,temporal_score
ensemble_lstm_original_class_weights_w10,0.9996224690523973,0.8907519166074912,0.9790530705295405,0.9290694521162104,19,0,5,0.0,0.2631578947368421,0.876437873168842
ensemble_lstm_resampled_class_weights_w10,0.9995231188030282,0.8599860103589698,0.9813280129360619,0.9128550161659584,24,3,4,0.125,0.16666666666666666,0.8170216828326251
ensemble_lstm_resampled_no_class_weights_w10,0.9995827289526497,0.8615204907240307,0.9813519363810377,0.9122689100000461,21,3,4,0.14285714285714285,0.19047619047619047,0.8027451004762366
multi_class_lstm_resampled_class_weights_w50,0.9995627198823319,0.9403428950585387,0.8987015681807442,0.9058873319394335,22,1,5,0.045454545454545456,0.22727272727272727,0.8377055137576154
ensemble_lstm_resampled_class_weights_w100,0.9996023145294387,0.9221024674799345,0.9099552216001507,0.9038552765948328,20,0,1,0.0,0.05,0.8938552765948328
multi_class_lstm_resampled_class_weights_w100,0.9995824302559106,0.9035759714305481,0.9099495505440868,0.9024620354579013,21,0,1,0.0,0.047619047619047616,0.8929382259340918
ensemble_lstm_resampled_no_class_weights_w100,0.9995824302559106,0.955411877394636,0.8861480149758717,0.8991442081643385,21,0,0,0.0,0.0,0.8991442081643385
multi_class_lstm_resampled_no_class_weights_w100,0.9995824302559106,0.9248722738448766,0.891439020266877,0.8953924833010104,21,0,1,0.0,0.047619047619047616,0.8858686737772009
multi_class_lstm_resampled_class_weights_w10,0.9995231188030282,0.8284396734894273,0.9813303163616564,0.8906206687350253,24,3,7,0.125,0.2916666666666667,0.769787335401692
multi_class_lstm_resampled_no_class_weights_w10,0.9994635086534067,0.8187060907880409,0.9813063929166804,0.8852390454664235,27,4,7,0.14814814814814814,0.25925925925925924,0.7593131195404976
multi_class_lstm_resampled_no_class_weights_w50,0.9994434616684225,0.8804986092539688,0.8735409377681487,0.8726735271554326,28,1,5,0.03571428571428571,0.17857142857142858,0.819102098584004
ensemble_lstm_resampled_no_class_weights_w50,0.9994832144063922,0.936324576069147,0.8223219174324078,0.8693643970252114,26,0,2,0.0,0.07692307692307693,0.8539797816405961
multi_class_lstm_original_class_weights_w10,0.9994436386035329,0.7922119939489192,0.9812984184350216,0.8647484039426362,28,3,10,0.10714285714285714,0.35714285714285715,0.7397484039426362
ensemble_lstm_resampled_class_weights_w50,0.9994235852994375,0.9601068171215702,0.803789747266623,0.863391546081422,29,0,1,0.0,0.034482758620689655,0.856494994357284
multi_class_lstm_original_class_weights_w100,0.9994631246147422,0.8343493613108972,0.8913910908190243,0.8541057907409346,27,1,4,0.037037037037037035,0.14814814814814814,0.8059576425927865
multi_class_lstm_original_no_class_weights_w50,0.9993440798234978,0.8491904016745457,0.86161223408978,0.8466111203356256,33,0,8,0.0,0.24242424242424243,0.7981262718507771
ensemble_lstm_original_no_class_weights_w50,0.9994235852994375,0.9013238280349775,0.786607631718122,0.8340429508986058,29,0,4,0.0,0.13793103448275862,0.806456744002054
ensemble_lstm_original_no_class_weights_w100,0.9994631246147422,0.8956976242935147,0.8124023115472409,0.8113731733498596,27,0,7,0.0,0.25925925925925924,0.7595213214980078
multi_class_lstm_original_no_class_weights_w10,0.9994436386035329,0.8554041635458663,0.7727277876253101,0.8084939168937195,28,0,5,0.0,0.17857142857142858,0.7727796311794338
ensemble_lstm_original_class_weights_w100,0.9989660177765405,0.7753751472974061,0.8971437657386855,0.8019986977193351,52,9,19,0.17307692307692307,0.36538461538461536,0.6423833131039505
multi_class_lstm_original_class_weights_w50,0.999304327085528,0.8244595927136369,0.8354878954654414,0.8002754096524942,35,0,13,0.0,0.37142857142857144,0.7259896953667799
multi_class_lstm_original_no_class_weights_w100,0.9994631246147422,0.8343630145856173,0.7793415167197665,0.7965663440971484,27,0,3,0.0,0.1111111111111111,0.7743441218749262
ensemble_lstm_original_class_weights_w50,0.9991254397646638,0.7995435735965404,0.8658313699767,0.7783587844463954,44,3,20,0.06818181818181818,0.45454545454545453,0.6533587844463954
ensemble_lstm_original_no_class_weights_w10,0.9992449381047946,0.8937084838518395,0.6632541667043207,0.7227244877796518,38,3,6,0.07894736842105263,0.15789473684210525,0.6516718562007044
